;Titulo;Sinopsis;Genero
1630;Catastrophe;"
    
              'Catastrophe' es una sitcom británica que sigue la historia de una pareja poco convencional formada por Rob , un ejecutivo de Boston, y Sharon Morris, una profesora irlandesa. Después de tres meses de haberse conocido, Rob recibe una llamada telefónica de Sharon, en el que ella le revela que, tras haber pasado un fin de semana lleno de sexo con él, está embarazada y esperando un hijo suyo. Rob entonces se desplaza otra vez a Londres, esta vez para averiguar cuál es su papel en todo esto, en un grave conflicto personal, llegando incluso a pedirle matrimonio a Sharon.Protagonizada por Rob Delaney y Sharon Horgan, quienes también son los creadores de esta serie, 'Catastrophe' está producida por Jack Bayles y es emitida en Channel 4 dede el 19 de enero de 2015. En Estados Unidos su estreno fue mediante la plataforma de Amazon Prime.Acompañan a Horgan y Delaney en el reparto Ashley Jensen como Fran, Mark Bonnar como Chris, Carrie Fisher como Mía (la madre de Rob), Jonathan Forbes como Fergan (el hermano de Sharon), Daniel Lapaine como Dave, Tobias Mezies como el Dr. Harries, entre otros.
    
      ";Comedia
1631;Categoría 6: Día de la destrucción;"
    
              Andy Goodman (Brian Dennehy) es un meteorólogo que ha sido retirado de su cargo en el Centro Nacional de Meteorología temporalmente. Durante su retiro, ve como unas fuertes tormentas acechan Las Vegas, una zona poco proclive a los tornados y huracanes. Preocupado por la desinformación de la población, Goodman contacta con su amigo 'Tornado Tommy' (Randy Quaid) y de la nueva interna Sabrina Rogers (Alicia Johnston). Con su ayuda, descubre que las tormentas se dirigen a Chicago y que, junto a ellas, sube una ola de calor desde el sur del país y un extraño frente frío desde el Ártico. La razón por la que desde algunos lugares se ha optado por no informar a los ciudadanos es el interés de grandes empresas de aprovecharse de esta situación. Sin embargo, algunos periodistas viajan hasta la tormenta para contar desde el lugar de los hechos los acontecimientos que se produzcan. Este conflicto de intereses entre poder, información, supervivencia... se enfrentan a la fuerza de la naturaleza.
    
      ";Drama, Acción
1632;Cat’s Cradle;"
Cat's Craddle (Cuna de gatos) es una serie de televisión emitida en FX y desarrollada por Noah Hawley (Fargo), quien desempeñará labores de guionista y productor ejecutivo. Dicha serie está basada en la novela homónima de Kurt Vonnegut publicada en 1963 que explora temas problemáticos sobre ciencia, tecnología y religión desde un punto de vista satírico, pasando incluso por la carrera armamentística y otros variados temas.Tanto el título de la novela como el de la serie derivan del 'juego del cordel' en el que se dispone un cordel entre las dos manos del jugador, quien empieza a formar diferentes figuras. En la novela, Felix Hoenikker (uno de los inventores ficticios de la bomba atómica) se encuentra jugando a esto cuando la bomba es lanzada.
    
      ";Comedia, Ciencia ficción
1633;Cedar Cove;"
'Cedar Cove' se trata de una serie de televisión dramática del canal estadounidense Hallmark. Basado en la serie de libros homónima de la autora Debbie Macomber, la trama se centra en la Corte Municipal de Cedar Cove y gira en torno a la vida personal y profesional de Olivia Lockhart. Su mejor amiga, Grace, es interpretada por Teryl Rothery ('Kyle XY').En la pequeña ciudad costera se conoce todo el mundo y todos recuerren a la juez en caso de problemas. En él se encuentra con Jack Griffith, un periodista divorciado y ex alcóholico que le dará un distinto punto de vista a la vida de Olivia. Esta relación afecatará a muchas otras personas, entre ellas la madre y la hija de Olivia, además del hijo de Jack.La protagonista de este drama/romance está interpretada por la actriz Andie MacDowell, conocida por su papel en 'Cuatro bodas y un funeral'. Además, en el reparto también se encuentran Dylan Neal ('Dawson crece'), Paula Shaw ('Freddy Vs Jason') Sarah Smyth ('Call Me Fitz') y Brennan Elliot ('Doctaras de Philadelphia').Bruce Boxleitner ('Babylon 5') formará parte del elenco regular como Bob Beldon, propietario de un local en la ciudad, el Thyme and Tide.
";Drama, Judicial
1634;Celia;"
    
              Basada en los libros infantiles de Elena Fortún, 'Celia' fue una serie desarrollada por Carmen Martín Gaite y José Luis Borau para TVE en 1993. Ambientada en la España de los años 30, la serie era un reflejo de la época desde el punto de vista de una niña de 7 años perteneciente a la alta burguesía madrileña y con una grandísima imaginación.
    
      ";Comedia, Drama, Histórico, Familia
1635;Chewing-Gum;"
    
              Tracey  es una joven de 24 años que trabaja en un supermercado. A su edad, y tras ver cómo ha vivido la vida su hermana mayor, decide que quiere dejar de ser virgen y quiere llevar la relación con su novio al siguiente nivel. Tanto él como ella son profundamente religiosos y Tracey no sabe si él estará de acuerdo con este cambio en sus vidas. Por otro lado, Tracey conoce a Connor, un chico que está interesado en ella. ¿Qué va a hacer ahora, con dos opciones totalmente distintas frente a ella? Michaela Coel es la protagonista de esta historia e interpreta a la religiosa Tracey. Susan Wokoma (Crazyhead) da vida a su hermana Cynthia y Danielle Walters (Kill Your Friends) es su mejor amiga, Candice. Los dos hombres de su vida son Ronald y Connor, interpretados por John Macmillan (El caballero oscuro: La leyenda renace) y Robert Lonsdale (From Here to Eternity: The Musical) respectivamente. Completan el reparto Shola Adewusi, Maggie Steed, Kadiff Kirwan y Sarah Hoare entre otros.Chewing Gum ha sido creada por Michaela Coel, que también es la protagonista y guionista principal de este proyecto dirigido por Tom Marshall. La comedia británica se estrenó en la cadena E4 el 13 de octubre de 2015.
    
      ";Comedia
1636;Childhood’s End. El fin de la infancia;"
Esta miniserie relata la historia de una invasión alienígena, por parte de unos seres llamados Overlords. El embajador de estos seres, llamado Karellen, establece el primer contacto con un terrícola, Ricky Stormgren. Tras unas tranquilizadoras palabras y tras entregar unos regalos, los humanos parecen dispuestos a convivir con estos nuevos invasores. No obstante, algunas personas empiezan a sospechar sobre sus intenciones ante su negativa a revelar su verdadera apariencia física y dada la insistencia a tratar solo con Ricky.
Serie escrita por Matthew Graham (Life on Mars). Productores ejecutivosAkiva Goldsman (Soy Leyenda) y Mike DeLuca (La Red Social). Está previsto que se estrene en 2015 en Syfy. 
";Ciencia ficción, Suspense
1637;Children of the Machine;"
Children of the Machine es una serie de ciencia ficción que se centra en un grupo de adultos jóvenes que se encuentran en la tierra tras una convulsa revolución por parte de la tecnología.La serie será la primera ficción desarrollada por BitTorrent y estará producida por Marco Weber y Jeff Stockwell.
    
      ";Drama, Ciencia ficción
1638;Chowder;"
'Chowder' gira en torno a la joven Chowder que vive en la ciudad Mazapán, amante de la comida y aprendiz del chef Garbanzo, Trufas y Escalope. Vive varias aventuras con Gazpacho, el vendedor de fruta y productos en la ciudad. Además, Chowder está constantemente acosado por una niña llamada Panini que cree que es su novio.El maestro de Chowder, Garbanzo, tiene forma humanoide, es de color azul y se cree todo un galán, aunque no tenga suerte con las mujeres al parecer. Escalope es un monstruo de pieda muy fuerte y de vez en cuando se aprovechan de él. Trufas es la esposa de Garbanzo y se trata de un hada de los hongos con un temperamento muy fuerte. Panini es aprendiz de Envidia y es una combinación de gato, conejo y oso y está totalmente enamorada de Chowder. Gazpacho es vendedor de frutas en la ciudad Mazapán y su único amigo es Chowder y Envidia es la eterna contrincante de Garbanzo que siempre trata de que éste diga que ella es mejor cocinera.La serie está doblada por actores como Nicky Jones ('Bambi 2, el príncipe del bosque'), Dwight Schultz ('El equipo A'), Leigh-Allyn Baker ('¡Buena suerte, Charlie!') o Liliana Mumy ('Doce fuera de casa'), entre otros.
";Animación
1639;Cinco en familia;"
    
              Cuando sus padres mueren en un accidente de avión, Charlie Salinger decide ocuparse de sus cuatro hermanos pequeños. Pero vivir los cinco juntos no será una tarea nada fácil.
    
      ";Drama, Familia
1640;Citizen;"
    
              Citizen es una serie original de Hulu creada por el director Alfonso Gómez-Rejón (Yo, él y Raquel), quien también ejerce como productor ejecutivo junto a Josh Pate y Nicholas Schutt que ha sido descrita como un nuevo enfoque de la historia de origen de un héroe, ambientada en un Los Angeles sobrenatural. Así, Citizen mezcla elementos oscuros de historias de vigilantes y elementos de realismo mágico.Alex Gonzalez (Combustión) interpreta a Gabriel, el estóico héroe que debe lidiar con la culpa de un aplastante y trágico pasado, mientras Augusto Aguilera (Chasing Life) da vida a Julio, un soñador de los bajos fondos de la ciudad. Ismael Cruz Cordova (The Good Wife) interpreta a Chris Martinez, un ambicioso vendedor de teléfonos móviles que metódicamente está organizando un imperio de la droga junto a un enigmático personaje conocido como Mrs. Candy. El cantante y actor Tom Waits se pone bajo la piel de Cesar, un sacerdote de características anacrónicas y ciertos vicios que, con orgullo, mantiene una actitud autoritaria con la que lidera un equipo de guerrillera humanitaria.Todos estos personajes confluyen en esta historia que busca darle un giro a los orígenes de un superhéroe. Alfonso Gómez-Rejón dirige el piloto.
    
      ";Fantasía
1641;Citizen Rose;"
Serie documental de E! Network conducida por la actriz, modelo, músico y escritora Rose McGowan. En ella se ve su faceta como activista, hablando del movimiento feminista #MeToo.McGowan explora en Citizen Rose sus propias experiencias sobre el acoso en la industria cinematográfica y la conexión de estos casos con todas las denuncias que Harvey Weinstein recibió en 2017. Además, trae a otros artistas invitados que cuentan su punto de vista de lo vivido en el sector audiovisual.Asimismo, McGowan también ejerce su talento musical al encargarse ella misma de la banda sonora.
";Documental
1642;Class;"
Class es una serie 'spinoff' derivada de la popular y aclamada producción británica de ciencia ficción Doctor Who. En esta nueva serie de la BBC, los estudiantes del Coal Hill School tienen que usar sus habilidades y su valor para enfrentarse a monstruos intergalácticos y otros siniestros villanos antes de que ataquen la Tierra.Escrita por el autor de novelas juveniles Patrick Ness (Un monstruo viene a verme) y producida por Brian Minchin (Torchwood), la serie está ambientada en el Londres contemporáneo, específicamente en el instituto Coal Hill School de la serie original. Esta escuela hizo su primera aparición en el primer episodio de la serie clásica de Doctor Who, cuando se descubrió que la primera compañera del Doctor, Susan Foreman (Carole Anne Ford), en realidad era una alienígena que viajaba en el tiempo y el espacio en compañía del Señor del Tiempo. Además, es en esta misma escuela donde Clara Oswald empieza a dictar clases a partir del episodio especial por el 50 aniversario de Doctor Who: 'El día del Doctor'.
    
      ";Drama, Fantasía, Ciencia ficción
1643;Cleverman;"
    
              En un futuro no muy lejano, las criaturas mitológicas que viven en los sueños e imaginación de todos nosotros deben refiugiarse en el mundo real. La humanidad, en lugar de aceptar a esta especie que lleva en el planeneta siglos y siglos, decide intentar destruirlos o explotarlos debido a su poder. Ante esta situación, dos hermanos llamados Koen y Waruu West deciden aliarse para poder sobrevivir. Deberán enfrentarse a los peligros que suponen por un lado los humanos y por otro, los seres de otro mundo que, al igual que ellos, habitan en la tierra.Koen ha sido bendecido con un don muy poderoso y su destino es convertirse en Cleverman. Sin embargo, debe aprender a desarrollar y aprovechar su poder mientras lucha contra todos los peligros que se le ponen por delante. ¿Será capaz de conseguirlo antes de que todo se desmorone?Creada por Ryan Griffen, Cleverman es un drama futurista protagonizada por el actor escocés Iain Glen (Juego de Tronos) y el nominado al Globo de oro Frances O'Connor (The Missing). Está producida por Goalpost Pictures Australia, Pukeko Pictures, Red Arrow International, ABC TV y Sundance Productions
    
      ";Drama, Ciencia ficción
1644;Colegas;"
Colegas relata la historia ficticia de la primera serie juvenil española que se estrenó en 1994. Centrada en el lanzamiento de su quinta temporada, ya en 1999, un giro de guion cambia la vida del protagonista. La ficción narra el paso del tiempo de los actores, ya que Manu tiene como objetivo reunir a sus antiguos compañeros de reparto en un campamentos de verano para recuperar la fama. La webserie está protagonizada por Manuel Feijóo (Compañeros), Julián González (Compañeros), Lara de Miguel (Compañeros), Daniel Huarte (Al salir de clase), Marta Solaz (Al salir de clase) y William Miller (Un paso adelante). El dramedia está producido por RTVE Digital en colaboración con Veralia Contenidos Audiovisuales y dirigida por Peris Romano (El Ministerio del Tiempo).
    
      ";Comedia dramática
1645;Colgados en Filadelfia;"
    
              Dirigir un negocio no es nada fácil y más si cada uno mira por sí mismo. Esto es lo que le ocurre a Dennis (Glenn Howerton), Deandra (Kaitlin Olson), Charlie (Charlie Day) y Mac (Rob McElhenney), un grupo de amigos que regentan un pub irlandés al sur de filadelfia. El bar apenas tiene ingresos y es que en vez de preocuparse por solucionarlo, la pandilla de amigos no hace nada más que competir y pelear por temas absurdos como quién es capaz de robar más cosas o quién es el más fuerte del grupo. Su egoísmo, vaguería y arrogancia les impiden sacar el negocio adelante. La fórmula clave es el chantaje, así pasan los días conspirando entre ellos para beneficiarse, vengarse o simplemente entretenerse al ver caer a uno de sus compañeros. Dennis es el hermano mellizo de Deandra, es un egocéntrico, continuamente presume de tener la carrera de psicología aprobada. A diferencia de su hermana que la abandonó a mitad de camino para ser actriz, cosa que no consiguió debido a su nulo talento y su miedo escénico. Trabajan en el bar, pero logran mantenerse gracias a su familia. Charlie no tiene la misma suerte, vive en la pobreza debido a sus malas gestiones. A pesar de que es bastante mañoso la inteligencia no le acompaña, es del que más abusan. Mac siempre intenta buscar la aprobación de los demás, sin embargo consigue lo contrario quedando en ridículo. Va de ""chico duro"", pero a la hora de las peleas es nefasto. ¿Qué es lo primero que fracasará su negocio o su amistad?
    
      ";Comedia
1646;Complications;"
Complications es uno de los nuevos proyectos de USA Network. La serie se centra en John Ellis (Jason O'Mara), un médico de urgencias frustrado, cuya vida cambiará al intervenir en un tiroteo y salvar la vida de un niño después de matar a uno de los atacantes. Cuando John se entera que el niño sigue traumatizado por todo lo sucedido, descubrirá que su vida no se puede comparar a la visión que tiene de la medicina.
Matt Nix es el creador de Complications, serie de la que, además, es guionista y productor ejecutivo. Este drama médico que está desarrollando USA Network cuenta con el actor Jason O’Mara (The Good Wife) en el papel protagonista del Doctor John Ellis. Junto a él estarán Jessica Szohr, Beth Riesgraf, Lauren Stamile, Chris Chalk, Tim Peper, Eric Edelstein y Ronreaco Lee, entre otros. 
";Drama, Médico
1647;Comrade Detective;"
Comrade Detective es la comedia que cuenta cómo en plena Guerra Fría, el gobierno rumano creó una ficción de entretenimiento para los ciudadanos. Con el fin de fomentar así los ideales comunistas y nacionalistas nace así Comrade Detective. Los detectives Gregor Anghel y Joseph Baciu investigan el asesinato de Nikita Lonesco. En plena investigación encontrarán un plan para destruir así el país, azotado por el capitalismo.La ficción de Amazon Studios está protagonizada por Channing Tatum (Magic Mike) y Joseph Gordon-Levitt (Snowden), que ponen la voz a los detectives interpretados por Florin Piersic Jr. (Killing Time) y Corneliu Ulici (The Devil Inside). La comedia está creada y escrita por Brian Gatewood y Alessandro Tanak.
    
      ";Comedia
1648;Con C mayúscula;"
    
              Producción de Showtime creada por Darlene Hunt ('Sensación de vivir: La nueva generación', 'Will y Grace') que sigue a una mujer que, tras serle diagnosticado cáncer, se ve obligada a cambiar varios aspectos de su vida para poder mejorarla en algún sentido.'Con C mayúscula' sigue la vida de Cathy Jamison (Laura Linney, 'John Adams', 'Frasier') una reservada profesora y madre de familia que es diagnosticada de melanoma, uno de los más agresivos cánceres que existe, el de piel. Al asimilar este duro golpe, Cathy se da cuenta de que tiene que disfrutar de la vida como nunca antes lo había hecho en su edad adulta.Al principio escoge ocultar el diagnóstico a su familia, por lo que estos encuentran los nuevos comportamientos de la protagonista extraños, intrigantes y, en ocasiones, incluso bizarros. Cathy ya no tiene pelos en la lengua y no volverá a ser esa conmensurada mujer responsable que era antes del diagnóstico. Según avanzan los episodios, esta madre de familia va abriéndose y compartiendo su enfermedad con los que la rodean.
    
      ";Comedia
1649;Conan, el niño del futuro;"
    
              La serie se ambienta en un futuro donde el mundo ha sufrido una Tercera Guerra Mundial. Conan y su abuelo son los únicos habitantes de una pequeña isla perdida donde se dedican a la pesca. Su vida cambia por completo cuando llega una niña llamada Lana, quien les explica que hay más supervivientes fuera de esa isla.
    
      ";Animación
1650;Connor Undercover;"
Connor Heath es un chico normal de 15 años. Él tiene mucha imaginación y siempre está en busca de aventuras; sin embargo, nunca encuentra nada interesante hasta que se envía a la hija del presidente Cordoban a vivir con él y su familia. Después de numerosos atentados contra la vida de Gisela, Ed, un oficial del servicio secreto que tiene Cordoban se une a ellos. El antagonista principal es el ex amigo de Gisela, ahora agente doble Zatari, cuya misión es capturarla.
";Comedia
1651;Corleone;"
    
              En la provincia de Palermo, Sicilia, se encuentra Corleone, un pueblo del que surgieron capos mafiosos muy conocidos. En la segunda mitad del siglo XX, el capo que lo dirigía todo era Salvatore Riina, apodado 'La Bestia' por su violencia y 'El Corto' por su estatura. Esta miniserie describe su vida desde 1943, con 13 años, hasta 1993, cuando fue arrestado en Palermo. Vivió sin preocuparse de la ley durante treinta años gracias a que los más altos representantes de la justicia estaban sobornados. Pero tras el asesinato de Giovanni Falcone y Paolo Borsellino, dos jueces, los magistrados no pudieron evitar su arresto ni aún con los sobornos, puesto que era algo muy escandaloso. Il Capo dei Capi es una miniserie de seis capítulos que debutó en Canale 5 entre octubre y noviembre de 2001. Riina es interpretado por el actor nacido en Palermo, Claudio Gioe, y la serie fue dirigida por Alexis Sweet y Enzo Monteleone. La película está inspirada en el libro del mismo nombre de la investigación de Giuseppe D'Avanzo y Attilio Bolzoni.
    
      ";Drama, Biografía
1652;Cranford;"
    
              Todo transcurre en 1842 en Cranford, un pueblo del noroeste de Inglaterra donde cada individuo conoce su lugar en el mundo y los códigos de conducta rigen las relaciones entre las personas. Pero de pronto, varios cambios y los aires de la modernidad se inmiscuyen en la apacible vida rural de los protagonistas. Algunos los ven como una oportunidad, mientras que otros los consideran una amenaza para su estilo de vida. La miniserie, de cinco episodios más dos especiales de Navidad, se basa en 'Las crónicas de Cranford' de Elizabeth Gaskell.
    
      ";Drama
1653;Crisis;"
'Crisis' gira en torno a a como un titiretero lleva a toda la élite de Washington, incluyendo al Presidente de los Estados Unidos, a una conspiración internacional.En Washington DC, un agente secreto se encuentra en el epicentro de una crisis internacional en su primer día de trabajo. Su búsqueda de la verdad en el más alto nivel de poder y corrupción le obligará a superar los límites que se había propuesto, sin embargo...La serie está protagonizada por Gillian Anderson ('Expediente X') y Dermot Mulroney ('New Girl') y creada por Rand Ravichm ('Life') que es además productor ejecutivo junto a Phillip Noyce ('Revenge') y Far Shariat ('The Maker').
";Drama, Suspense
1654;Crisis in Six Scenes;"
    
              Este proyecto televisivo del cineasta Woody Allen está producido por Amazon con la intención de ser emitido mediante su plataforma de vídeo bajo demanda, junto a otros nombres como las ganandoras del Globo de Oro: Transparent y Mozart in the jungle. El estreno de la serie está anunciado para algún momento de 2016. Para los roles protagonistas de esta ficción, Woody Allen cuenta con la participación de la actriz, guionista y directora Elaine May (A New Leaf) y de la artista pop musical Miley Cyrus (La última canción).La serie contará con una primera temporada de seis episodios.
    
      ";Comedia
1655;Cristal Oscuro: La era de la resistencia;"
Cristal Oscuro: La era de la resistencia (The Dark Crystal Age of Resistance) es una precuela de la historia original de The Dark Crystal. Netflix es la encargada de contar la historia desde muchos años antes, en ella tres jóvenes gelflings descubren un secreto que les lleva a levantar una rebelión contra el emperador, un hombre cruel. La historia se sitúa en un planeta conocido como Thra en el que se vive el periodo de la Edad de la división, un tiempo que dura mil años. Comenzó con la Gran Conjunción y la división de los urskeks.  La serie se encuentra dirigida por el director Louis Leterrier (Ahora me ves…) con la ayuda de The Jim Henson Company.
    
      ";Aventura, Fantasía
1656;Cristela;"
Durante su sexto año en la Facultad de Derecho, Cristela (Cristela Alonzo) va a empezar una nueva etapa en su vida como becaria en una conocida y afamada firma de abogados. Sin embargo, su arrolladora ambición preocupa a su familia de origen humilde que no ve con buenos ojos la actitud de Cristela.
En este sentido, la joven protagonista intentará poner un equilibrio entre la cultura tradicional de su familia y el mundo moderno que se le presenta repleto de posibilidades 
'Cristela' es una comedia de ABC en la que destacan dentro del reparto Carlos Ponce como Felix, Terry Hoyos como Natalia, Andrew Leeds como Josh y Sam McMurray como Trent.
";Comedia
1657;Crossbones;"
‘Crossbones’ nos traslada a la las Bahamas de 1715, en concreto a la Isla de New Providence, donde Edward Teach (John Malkovich), también conocido como Barbanegra, gobierna un estado repleto de delincuentes y marineros despiadados. El conocido y sanguinario bucanero se verá amenazado por el astuto asesino Tom Lowe (Richard Coyle) quien más adelante se convertirá en su fiel aliado. Juntos buscarán un tesoro escondido y se enfrentarán a numerosas amenazas y enemigos.
La nueva apuesta de ficción de NBC reúne todos los elementos para enganchar al público con grandes dosis de acción, suspense y una escenografía muy lograda. ‘Crossbones’ es la adaptación televisiva de la novela “The Republic of Pirates” de Colin Woodard.
Entre sus créditos se encuentra la figura de Neil Cross, conocido por ser el guionista de grandes producciones como ‘Luther’ y ‘Doctor Who’. Destacan en el reparto John Malkovich como Barbanegra, Richard Coyle como Tom Lowe, Tracy Ifeachor como Selima El Sharad o David Hoflin como Charles Rider, entre otros.
";Aventura, Drama
1658;Cruel Intentions;"
Cruel Intentions es una serie de televisión del género dramático que sirve como secuela televisiva para la cinta del mismo nombre dirigida por Roger Kumble y estrenada en 1999. Este 'reboot' está ambientado 15 años después del final de la película y se centra en el hijo adolescente de Sebastian Valmont y Anette Hargrove, interpretados en la película por Ryan Philippe y Anne Witherspoon respectivamente, llamado Bash Casey. Tras encontrar el diario de su fallecido padre, Bash descubre y aprende todo sobre un legado familiar que él no sabía que existía. En busca de respuestas, abandona su educación en un pequeño pueblo de Kansas para aceptar una beca en la prestigiosa Academia Preparatoria de Brighton en San Francisco, donde pronto se encuentra a sí mismo en el centro de un mundo de sexo, dinero, poder y corrupción que no pudo haber imaginado nunca.Además, Kathryn Merteuil (Sarah Michelle Gellar), ahora casada con el millonario Pascal Barrett, es la cabeza de un inspirador movimiento de rehabilitación, así como está involucrada en la dirección de una escuela privada local. Kathryn se verá afectada por la llegada del hijo de Sebastian y la reaparición en su vida de la chica a la que le hizo daño hace muchos años, Anette.
    
      ";Suspense, Romántico
1659;Cucumber;"
    
              Nuevo proyecto de Russell T. Davies (Queer As Folk) sobre una visión de personas homosexuales a través de distintas generaciones. Henry Best (Vicent Frankiln) es un hombre de 46 años que está pasando por una ruptura de relación. El protagonista se instala en una casa de intercambio con un grupo de hombres homosexuales jóvenes. Allí conoce a un joven objeto de sus deseos.
    
      ";Comedia dramática
1660;Cult (CW);"
    
              El periodista de investigación Jeff Sefton (Matt Davis, 'Crónicas vampíricas') ha aprendido a reírse de su obsesivo hermano Nate con el paso de los años, especialmente ahora que jura y perjura que un programa de televisión ha intentado matarlo. Pero cuando su hermano desaparece misteriosamente y sin dejar rastro, Jeff se toma su paranoia en serio y en el proceso descubre los entresijos del espacio 'Cult' y los enigmas que ocultan sus seguidores y fanáticos.La única que parece dispuesta a ayudarle en su ardua y opaca aventura es Skue Yarrow (Jessica Lucas, 'Melrose Place'), una ayudante del programa que también ha empezado a sospechar sobre las misteriosas desapariciones que han tenido lugar y que relacionan al programa. Y es que la serie, centrada en la persecución entre el carismático líder de una secta llamado Billy Grimm (Robert Knepper, 'Prison Break') y la agente Kelly Collins (Alona Tal, 'Sobrenatural'), ha traspasado los límites de la realidad para sus espectadores, que ahora protagonizan los asesinatos a sangre fría al mundo real.De los creadores de 'Gossip Girl' Josh Schwartz y Stephanie Savage, 'Cult' es un nuevo 'thriller' de CW que gira en torno a los crímenes por imitación.
    
      ";Drama, Crimen, Suspense
1661;Curro Jiménez;"
Andrés López, el barquero de Santillana, fue un bandolero en el cual se basó la historia de Curro Jiménez. Así nos encontramos con las aventuras de este personaje en la Serranía de Ronda, ambientadas en los montes andaluces en pleno siglo XIX, durante la lucha contra los franceses por la Guerra de la Independencia Española.Curro Jiménez (Sancho Gracia) es una especie de Robin Hood que, acompañado de sus dos camaradas ‘El Estudiante’ (Pepe Sancho) y ‘El Algarrobo’ (Álvaro de Luna), vive en cada episodio una historia diferente en la que tienen que afrontar las adversidades con valentía y justicia.Curro Jiménez es un éxito de la ficción española y por ello, a esta serie de TVE le han seguido la película Avisa a Curro Jiménez (1978) y una temporada en Antena 3 de Curro Jiménez, la leyenda (1995).
";Aventura
1662;Dame un respiro;"
    
              Narra todas las peripecias que suceden en una estilosa revista de moda. La redactora Maya Gallo intentará hacerlo lo mejor posible para llevarse bien con los diferentes personajes de la redacción entre los que se encuentra su padre Jack, el director de la oficina, su asistente Elliott, el fotógrafo y Nina Van Horn, una exmodelo de cierta edad.
    
      ";Comedia
1663;Das Haus Anubis;"
    
              Adaptación de la serie Het Huis Anubis de orígenes belgas y holandeses. La trama gira en torno a ocho jóvenes que viven en un internado, la casa de Anubis, juntos. Como corresponde a su edad, en la ficción se muestran el primer amor, la amistad, la familia y una locura cotidiana normal de la vida de un adolescente. Sin embargo, no todo gira sobre la vida de estos jóvenes; las paredes de la casa en la que viven parecen ocultar cosas secretas y siniestras que ocurren dentro del internado. Un compañero de clase desaparece, el cuidador inventa cualquier excusa para llevar escudos y los maestros actúan de un modo extraño cuando los estudiantes tratan de averiguar algo sobre sus familias.
    
      ";Aventura, Suspense, Teleserie
1664;DC's Freedom Fighters: The Ray;"
    
              Raymond Terrill es un reportero homosexual que puede parecer un hombre corriente, pero no es así. ¿Qué es lo que le hace especial? Es un superhéroe capaz de manipular la luz y la energía a su antojo. Consiguió sus capacidades sobrehumanas mientras investigaba un proyecto secreto del gobierno que pretendía convertir la luz en un arma de destrucción masiva. Como es lógico, no estará solo pues hay varios héroes y villanos que se cruzarán en su camino, bien para ayudarle o para destruirle. Esta serie animada de CW viene de la mano de Greg Berlanti y Marc Guggenheim. La serie está basada en el personaje homónimo de DC Comics que protagoniza Freedom Fighters: The Ray.
    
      ";Aventura, Acción, Animación, Webisode
1665;Dead of Summer;"
    
              Ambientada en los ochenta, esta serie de televisión cuenta lo que sucede cuando, durante las vacaciones, en el Campamento de verano Clearwater, momento en el que la oscura y ancestral mitología de la zona despierta y convierte lo que debería ser un verano de diversión en un terror inolvidable con maldad en cada rincón.Elizabeth Mitchell interpreta a Deb, la propietaria del campamento que fue campista en sus días de juventud. Su objetivo es traer de vuelta la magia de los campamentos de verano a los que acudía cuando era más joven. Deb es una figura de autoridad, pero a la vez se mantiene simpática, sin embargo, su deseo de controlar el campamento esconde una razón más oscura de lo que parece.A Mitchell, la acompaña en el reparto Elizabeth Lail, quien interpreta a Amy, una monitora ingeniosa para la que el Campamento Clearwater es un escenario totalmente nuevo y desconocido, por lo que tiene que luchar constantemente contra los nervios. Si bien está familiarizada con ser 'la chica nueva' en estas situaciones sociales, Amy hará todos los esfuerzos posibles por integrarse con los demás supervisores. Ella será la primera persona en darse cuenta de que hay algo malo que se esconde en el campamento.
    
      ";Drama, Terror, Suspense
1666;Deadpool;"
Deadpool es la nueva adaptación televisiva animada de Marvel para FXX, todavía sin nombre oficial. La serie consta de 10 episodios en los que trabajan el productor Donald Glover, conocido por Atlanta y su hermano Stephen Glover, que se encarga del guion.Deadpool es un enmascarado antihéroe, mercenario y villano creado por Rob Liefeld. Formó parte de la operación paramilitar Arma X, donde le curaron su cáncer terminal, pero le dejaron completamente cubierto de cicatrices y afectado mentalmente, por eso se enfuda un traje rojo y negro para ocultarse. Actua desde el sarcasmo y el humor negro. La sed de venganza lleva a Deadpool a innumerables misiones en las que trabaja con una alta tecnología.
    
      ";Comedia, Fantasía, Acción, Animación
1667;Death and Nightingales;"
Ambientada en Fermanagh (Irlanda) en el año 1885, Death and Nightingales se sitúa en una época en la que reina la traición, el espionaje y la venganza. Allí reside Beth Winters, una joven que, al cumplir 25 años decide unirse al cautivador Liam Ward, huyendo de los deseos de su protestante padrastro Billy.De esta manera, la ficción se convierte en un drama en el que una mujer trata de luchar por controlar su propio destino, haciendo frente a los obstáculos y las tensiones políticas y culturales. Asimismo, el dolor y la traición funcionan como elementos claves en este título.Esta serie de BBC está protagonizada por Ann Skelly (Red Rock), Jamie Dornan (Cincuenta sombras de Grey) y Matthew Rhys (The Americans).
";Drama
